<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
</s>           | <s>            | 0.499363690615 -> 6.069167e-01   | 
<s>            | volgens        | 0.000189607220818-> 9.998104e-01   | 
volgens        | de             | 0.059895940125 -> 9.418625e-01   | 
de             | dokters        | 5.17053777003e-05-> 9.999483e-01   | 
dokters        | zou            | 0.000771159131546-> 9.992291e-01   | 
zou            | dat            | 0.00586214847863-> 9.941550e-01   | 
dat            | nog            | 0.00326127535664-> 9.967440e-01   | 
nog            | veertien       | 4.92288600071e-05-> 9.999508e-01   | 
veertien       | dagen          | 0.0001492179872-> 9.998508e-01   | 
dagen          | duren          | 9.7677393569e-06-> 9.999902e-01   | 
duren          | </s>           | 0.00831688474864-> 9.917176e-01   | 
</s>           | <s>            | 0.49952301383  -> 6.068200e-01   | 
<s>            | maar           | 0.00834812503308-> 9.916866e-01   | 
maar           | Phil           | 2.63247457042e-05-> 9.999737e-01   | 
Phil           | wenste         | 9.91299202724e-06-> 9.999901e-01   | 
wenste         | geen           | 0.00187732966151-> 9.981244e-01   | 
geen           | risico         | 9.60240049608e-06-> 9.999904e-01   | 
risico         | te             | 0.00663057575002-> 9.933913e-01   | 
te             | nemen          | 0.00015671334404-> 9.998433e-01   | 
nemen          | had            | 0.00173283414915-> 9.982687e-01   | 
had            | een            | 0.0111857140437-> 9.888766e-01   | 
een            | speciale       | 1.89585698536e-05-> 9.999810e-01   | 
speciale       | <UNK>          | 0.0130536761135-> 9.870312e-01   | 
<UNK>          | aan            | 0.00240006507374-> 9.976028e-01   | 
aan            | zijn           | 0.00860416609794-> 9.914327e-01   | 
zijn           | broekriem      | 2.52435129369e-05-> 9.999747e-01   | 
broekriem      | gebonden       | 1.06002198663e-05-> 9.999894e-01   | 
gebonden       | en             | 0.00664417026564-> 9.933779e-01   | 
en             | een            | 0.00835224147886-> 9.916825e-01   | 
een            | <UNK>          | 0.017588051036 -> 9.825657e-01   | 
<UNK>          | <UNK>          | 0.0138925155625-> 9.862036e-01   | 
<UNK>          | gezet          | 1.98354719032e-05-> 9.999802e-01   | 
gezet          | om             | 0.00295514054596-> 9.970492e-01   | 
om             | zodra          | 7.79379752203e-06-> 9.999922e-01   | 
zodra          | de             | 0.0631654039025-> 9.387882e-01   | 
de             | <UNK>          | 0.0183510351926-> 9.818163e-01   | 
<UNK>          | begonnen       | 1.78823465831e-05-> 9.999821e-01   | 
begonnen       | het            | 0.00235599116422-> 9.976468e-01   | 
het            | golf           | 6.72532696626e-05-> 9.999328e-01   | 
golf           | te             | 0.00698370346799-> 9.930406e-01   | 
te             | laten          | 0.000180911025382-> 9.998191e-01   | 
laten          | voor           | 0.00362911308184-> 9.963775e-01   | 
voor           | wat            | 0.00101497548167-> 9.989855e-01   | 
wat            | het            | 0.00243636360392-> 9.975666e-01   | 
het            | was            | 0.0016474527074-> 9.983539e-01   | 
was            | en             | 0.00743171432987-> 9.925959e-01   | 
en             | naar           | 0.00127520225942-> 9.987256e-01   | 
naar           | huis           | 2.16946937144e-05-> 9.999783e-01   | 
huis           | in             | 0.00892781559378-> 9.911119e-01   | 
in             | Arizona        | 1.5619019905e-05-> 9.999844e-01   | 
Arizona        | te             | 0.00691004376858-> 9.931138e-01   | 
te             | vliegen        | 9.41701910051e-06-> 9.999906e-01   | 
vliegen        | </s>           | 0.00863319076598-> 9.914040e-01   | 
</s>           | <s>            | 0.499495774508 -> 6.068366e-01   | 
<s>            | vijf           | 0.000203163057449-> 9.997969e-01   | 
vijf           | uur            | 0.000116995761346-> 9.998830e-01   | 
uur            | van            | 0.0220111049712-> 9.782293e-01   | 
van            | </s>           | 0.00756431883201-> 9.924642e-01   | 
</s>           | <s>            | 0.499357044697 -> 6.069208e-01   | 
<s>            | wat            | 0.00119538302533-> 9.988053e-01   | 
wat            | eerst          | 6.38857309241e-05-> 9.999361e-01   | 
eerst          | een            | 0.010321107693 -> 9.897320e-01   | 
een            | van            | 0.0095396572724-> 9.905057e-01   | 
van            | de             | 0.0642410740256-> 9.377789e-01   | 
de             | vele           | 6.03791559115e-05-> 9.999396e-01   | 
vele           | onbeduidende   | 6.86083649271e-06-> 9.999931e-01   | 
onbeduidende   | faits          | 7.27388305677e-06-> 9.999927e-01   | 
faits          | divers         | 1.40526290124e-05-> 9.999859e-01   | 
divers         | was            | 0.00292579550296-> 9.970785e-01   | 
was            | zoals          | 0.000468364916742-> 9.995317e-01   | 
zoals          | er             | 0.00285584153607-> 9.971482e-01   | 
er             | in             | 0.00995331909508-> 9.900960e-01   | 
in             | elk            | 2.72565630439e-05-> 9.999728e-01   | 
elk            | groot          | 2.43206850428e-05-> 9.999757e-01   | 
groot          | toernooi       | 8.9031556854e-05-> 9.999110e-01   | 
toernooi       | tientallen     | 8.2953765741e-06-> 9.999917e-01   | 
tientallen     | te             | 0.00692277774215-> 9.931011e-01   | 
te             | rapen          | 1.3033036339e-05-> 9.999869e-01   | 
rapen          | vallen         | 4.73109612358e-05-> 9.999527e-01   | 
vallen         | werd           | 0.00110774417408-> 9.988928e-01   | 
werd           | plots          | 1.41389964483e-05-> 9.999859e-01   | 
plots          | het            | 0.00235205213539-> 9.976507e-01   | 
het            | onderwerp      | 1.20829354273e-05-> 9.999879e-01   | 
onderwerp      | van            | 0.0333315953612-> 9.672178e-01   | 
van            | gesprek        | 2.47095376835e-05-> 9.999753e-01   | 
gesprek        | toen           | 0.000861362728756-> 9.991390e-01   | 
toen           | <UNK>          | 0.013876224868 -> 9.862196e-01   | 
<UNK>          | de             | 0.0675265341997-> 9.347029e-01   | 
de             | voorlaatste    | 1.09949905891e-05-> 9.999890e-01   | 
voorlaatste    | dag            | 0.000133173423819-> 9.998668e-01   | 
dag            | afsloot        | 1.27085622807e-05-> 9.999873e-01   | 
afsloot        | met            | 0.00455476855859-> 9.954556e-01   | 
met            | slechts        | 2.13380844798e-05-> 9.999787e-01   | 
slechts        | één          | 0.000865203444846-> 9.991352e-01   | 
één          | <UNK>          | 0.0150553826243-> 9.850574e-01   | 
<UNK>          | achterstand    | 3.51520939148e-05-> 9.999648e-01   | 
achterstand    | op             | 0.00507825613022-> 9.949346e-01   | 
op             | leider         | 2.87783805106e-05-> 9.999712e-01   | 
leider         | Payne          | 8.23816571938e-06-> 9.999918e-01   | 
Payne          | Stewart        | 4.87486649945e-05-> 9.999512e-01   | 
Stewart        | </s>           | 0.00837731454521-> 9.916577e-01   | 
</s>           | <s>            | 0.499537885189 -> 6.068110e-01   | 
<s>            | een            | 0.0127262575552-> 9.873544e-01   | 
een            | steeds         | 3.92294423364e-05-> 9.999608e-01   | 
steeds         | <UNK>          | 0.0143843460828-> 9.857186e-01   | 
<UNK>          | wordende       | 1.02801541288e-05-> 9.999897e-01   | 
wordende       | Phil           | 2.63213842118e-05-> 9.999737e-01   | 
Phil           | telefoneerde   | 7.72693692852e-06-> 9.999923e-01   | 
telefoneerde   | voor           | 0.00379406823777-> 9.962131e-01   | 
voor           | de             | 0.0764840096235-> 9.263677e-01   | 
de             | tachtigste     | 1.62616561283e-05-> 9.999837e-01   | 
tachtigste     | keer           | 0.000215242966078-> 9.997848e-01   | 
keer           | in             | 0.00909095443785-> 9.909502e-01   | 
in             | drie           | 0.000551341217943-> 9.994488e-01   | 
drie           | dagen          | 0.000151126863784-> 9.998489e-01   | 
dagen          | naar           | 0.00147792953067-> 9.985232e-01   | 
naar           | huis           | 2.15968339035e-05-> 9.999784e-01   | 
huis           | en             | 0.00672426447272-> 9.932983e-01   | 
en             | <UNK>          | 0.0176421441138-> 9.825126e-01   | 
<UNK>          | zijn           | 0.00814040843397-> 9.918926e-01   | 
zijn           | vrouw          | 5.84097579122e-05-> 9.999416e-01   | 
vrouw          | hem            | 0.000958463468123-> 9.990420e-01   | 
hem            | als            | 0.00205266312696-> 9.979494e-01   | 
als            | het            | 0.0023513333872-> 9.976515e-01   | 
het            | zover          | 1.22012743304e-05-> 9.999878e-01   | 
zover          | was            | 0.00283355405554-> 9.971704e-01   | 
was            | in             | 0.0100391851738-> 9.900110e-01   | 
in             | elk            | 2.73972618743e-05-> 9.999726e-01   | 
elk            | geval          | 3.19086575473e-05-> 9.999681e-01   | 
geval          | te             | 0.00705372635275-> 9.929711e-01   | 
te             | bellen         | 1.13409032565e-05-> 9.999887e-01   | 
bellen         | om             | 0.00281954184175-> 9.971845e-01   | 
om             | het            | 0.00262569915503-> 9.973778e-01   | 
het            | even           | 0.000202157491003-> 9.997979e-01   | 
even           | wanneer        | 2.03298259294e-05-> 9.999797e-01   | 
wanneer        | en             | 0.00689192628488-> 9.931318e-01   | 
en             | om             | 0.00243126507849-> 9.975717e-01   | 
om             | het            | 0.00259548169561-> 9.974079e-01   | 
het            | even           | 0.00020175264217-> 9.997982e-01   | 
even           | waar           | 0.000441895826953-> 9.995582e-01   | 
waar           | hij            | 0.00270116073079-> 9.973025e-01   | 
hij            | zich           | 0.00136716407724-> 9.986337e-01   | 
zich           | op             | 0.00500040221959-> 9.950121e-01   | 
op             | dat            | 0.00683365436271-> 9.931896e-01   | 
dat            | moment         | 5.09789424541e-05-> 9.999490e-01   | 
moment         | bevond         | 7.66929042584e-06-> 9.999923e-01   | 
bevond         | zelfs          | 0.000282070890535-> 9.997180e-01   | 
zelfs          | al             | 0.00155395909678-> 9.984472e-01   | 
al             | was            | 0.00293992296793-> 9.970644e-01   | 
was            | dat            | 0.00643664086238-> 9.935840e-01   | 
dat            | de             | 0.0741633847356-> 9.285200e-01   | 
de             | laatste        | 0.000294754107017-> 9.997053e-01   | 
laatste        | hole           | 2.14124047488e-05-> 9.999786e-01   | 
hole           | </s>           | 0.00832318328321-> 9.917114e-01   | 
</s>           | <s>            | 0.499485373497 -> 6.068429e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | iemand         | 8.56498008943e-05-> 9.999143e-01   | 
iemand         | die            | 0.00330815440975-> 9.966973e-01   | 
die            | op             | 0.0045696767047-> 9.954407e-01   | 
op             | het            | 0.00274447002448-> 9.972593e-01   | 
het            | punt           | 0.000280177104287-> 9.997199e-01   | 
punt           | staat          | 0.000679018499795-> 9.993212e-01   | 
staat          | de             | 0.0656378492713-> 9.364700e-01   | 
de             | US             | 5.76707279833e-05-> 9.999423e-01   | 
US             | Open           | 9.28622757783e-05-> 9.999071e-01   | 
Open           | te             | 0.00656182598323-> 9.934596e-01   | 
te             | winnen         | 3.83822989534e-05-> 9.999616e-01   | 
winnen         | op             | 0.00474524218589-> 9.952660e-01   | 
op             | de             | 0.0746633782983-> 9.280558e-01   | 
de             | zeventiende    | 1.05696035462e-05-> 9.999894e-01   | 
zeventiende    | hole           | 2.07596549444e-05-> 9.999793e-01   | 
hole           | plots          | 1.40093425216e-05-> 9.999860e-01   | 
plots          | zou            | 0.000863892084453-> 9.991365e-01   | 
zou            | weglopen       | 1.46504826262e-05-> 9.999853e-01   | 
weglopen       | omdat          | 0.000635975040495-> 9.993643e-01   | 
omdat          | zijn           | 0.00799042265862-> 9.920414e-01   | 
zijn           | vrouw          | 5.82201173529e-05-> 9.999418e-01   | 
vrouw          | bevalt         | 6.11025279795e-06-> 9.999939e-01   | 
bevalt         | verdeelde      | 2.27607833949e-05-> 9.999772e-01   | 
verdeelde      | de             | 0.061892028898 -> 9.399844e-01   | 
de             | aanwezigen     | 2.27698292292e-05-> 9.999772e-01   | 
aanwezigen     | in             | 0.00870483182371-> 9.913329e-01   | 
in             | <UNK>          | 0.0129500050098-> 9.871335e-01   | 
<UNK>          | in             | 0.00986086204648-> 9.901876e-01   | 
in             | twee           | 0.00120976567268-> 9.987910e-01   | 
twee           | duidelijk      | 3.03316974168e-05-> 9.999697e-01   | 
duidelijk      | gescheiden     | 8.89768671186e-06-> 9.999911e-01   | 
gescheiden     | kampen         | 6.54335963191e-06-> 9.999934e-01   | 
kampen         | </s>           | 0.00834218598902-> 9.916925e-01   | 
</s>           | <s>            | 0.499532133341 -> 6.068145e-01   | 
<s>            | aan            | 0.00151207880117-> 9.984891e-01   | 
aan            | de             | 0.0727537944913-> 9.298297e-01   | 
