input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
vanop           | de              | 1.16033291817   <-> 1.51232790947   || 0
de              | thee            | 9.82545471191   <-> 9.85977745056   || 0
thee            | tot             | 5.83181190491   <-> 7.91441965103   || 0
tot             | in              | 4.91679286957   <-> 4.64670562744   || 1
in              | de              | 1.27644383907   <-> 1.34812414646   || 0
de              | hole            | 13.4122457504   <-> 12.361333847    || 1
hole            | geslagen        | 6.40527057648   <-> 6.08156013489   || 1
geslagen        | door            | 3.45403981209   <-> 4.18311262131   || 0
door            | een             | 2.1457285881    <-> 2.29936170578   || 0
een             | <UNK>           | 1.50072658062   <-> 1.7863458395    || 0
<UNK>           | die             | 3.18632602692   <-> 3.42860889435   || 0
die             | helemaal        | 7.14932727814   <-> 7.73132133484   || 0
helemaal        | alleen          | 5.24935293198   <-> 5.05752134323   || 1
alleen          | op              | 3.47723722458   <-> 3.66554117203   || 0
op              | de              | 1.37789404392   <-> 1.57954502106   || 0
de              | baan            | 6.9673743248    <-> 6.40530776978   || 1
baan            | staat           | 4.79076099396   <-> 4.22420072556   || 1
staat           | </s>            | 0.50519400835   <-> 0.44057109952   || 1
<s>             | door            | 5.6951842308    <-> 5.83491420746   || 0
door            | de              | 1.14607286453   <-> 1.15880453587   || 0
de              | wind            | 7.78312110901   <-> 7.44676446915   || 1
wind            | en              | 2.87527370453   <-> 3.32657670975   || 0
en              | het             | 2.66349506378   <-> 2.86972689629   || 0
het             | hoge            | 8.10225105286   <-> 7.57592868805   || 1
hoge            | gras            | 7.24607610703   <-> 6.25526332855   || 1
gras            | is              | 2.71328902245   <-> 2.41764330864   || 1
is              | <UNK>           | 3.3912525177    <-> 3.90960717201   || 0
<UNK>           | een             | 2.60232496262   <-> 2.53040623665   || 1
een             | speciale        | 6.75310611725   <-> 6.31945610046   || 1
speciale        | baan            | 6.92603397369   <-> 6.84755659103   || 1
baan            | </s>            | 1.17120063305   <-> 0.915761709213  || 1
<s>             | normaal         | 8.38989543915   <-> 8.42070674896   || 0
normaal         | gezien          | 6.91954708099   <-> 6.53975439072   || 1
gezien          | niets           | 8.52242469788   <-> 8.32820320129   || 1
niets           | voor            | 3.84282469749   <-> 4.03087425232   || 0
voor            | de              | 1.31633245945   <-> 1.38290500641   || 0
de              | Amerikanen      | 8.21528434753   <-> 7.16628646851   || 1
Amerikanen      | en              | 2.62915253639   <-> 2.71968889236   || 0
en              | dus             | 7.14321517944   <-> 6.09759426117   || 1
dus             | in              | 3.31776833534   <-> 3.65548205376   || 0
in              | de              | 1.13256168365   <-> 1.19825303555   || 0
de              | psychologische  | 9.42086982727   <-> 9.84563159943   || 0
psychologische  | voorbereiding   | 8.44082164764   <-> 7.98365211487   || 1
voorbereiding   | op              | 3.663169384     <-> 4.02879047394   || 0
op              | de              | 1.13085341454   <-> 1.12952113152   || 1
de              | Ryder           | 13.3620252609   <-> 13.0137023926   || 1
Ryder           | Cup             | 6.53648471832   <-> 3.56619620323   || 1
Cup             | een             | 4.8060836792    <-> 4.75377655029   || 1
een             | grote           | 5.24084043503   <-> 5.21879673004   || 1
grote           | kans            | 5.78856420517   <-> 5.41289758682   || 1
kans            | voor            | 2.54271817207   <-> 2.96407532692   || 0
voor            | Europa          | 7.73248958588   <-> 7.64931917191   || 1
Europa          | </s>            | 1.17887938023   <-> 0.760108888149  || 1
<s>             | Colin           | 11.0814638138   <-> 10.4691343307   || 1
Colin           | </s>            | 5.60706663132   <-> 7.88440799713   || 0
<s>             | <UNK>           | 2.81148004532   <-> 3.1544175148    || 0
<UNK>           | is              | 3.47448968887   <-> 3.03689169884   || 1
is              | onze            | 7.30846595764   <-> 7.19496297836   || 1
onze            | grootste        | 5.91250705719   <-> 4.93022251129   || 1
grootste        | hoop            | 8.38882923126   <-> 7.50983381271   || 1
hoop            | </s>            | 1.62023532391   <-> 1.54922509193   || 1
<s>             | heel            | 7.25706577301   <-> 7.14162349701   || 1
heel            | Schotland       | 12.8556156158   <-> 12.4192619324   || 1
Schotland       | zal             | 5.77978515625   <-> 5.39354372025   || 1
zal             | zich            | 5.11421489716   <-> 4.32158994675   || 1
zich            | een             | 2.9121465683    <-> 3.58911418915   || 0
een             | beroerte        | 9.76521587372   <-> 10.1280517578   || 0
beroerte        | drinken         | 7.59423828125   <-> 7.43529033661   || 1
drinken         | als             | 4.06316232681   <-> 4.35038661957   || 0
als             | Monty           | 11.15629673     <-> 11.6346817017   || 0
Monty           | eindelijk       | 9.45850849152   <-> 9.56231212616   || 0
eindelijk       | zijn            | 4.49569511414   <-> 3.74769806862   || 1
zijn            | eerste          | 4.80377626419   <-> 5.20504426956   || 0
eerste          | major           | 12.2191944122   <-> 11.6422119141   || 1
major           | wint            | 9.19763088226   <-> 7.98561954498   || 1
wint            | </s>            | 0.868575036526  <-> 0.562669098377  || 1
<s>             | en              | 4.17017221451   <-> 4.06346845627   || 1
en              | als             | 4.2423210144    <-> 3.82884263992   || 1
als             | hij             | 3.10832381248   <-> 3.22210884094   || 0
hij             | hem             | 5.25700378418   <-> 5.17686462402   || 1
hem             | niet            | 3.46916508675   <-> 3.28150200844   || 1
niet            | wint            | 7.39222717285   <-> 8.0739030838    || 0
wint            | ook             | 6.40659618378   <-> 7.57045507431   || 0
ook             | daarvan         | 9.09873867035   <-> 8.53874206543   || 1
daarvan         | laat            | 6.31887817383   <-> 6.00495243073   || 1
laat            | een             | 3.67632126808   <-> 4.10050201416   || 0
een             | Schot           | 10.695731163    <-> 10.3549079895   || 1
Schot           | het             | 3.74089336395   <-> 3.69783782959   || 1
het             | niet            | 3.94857144356   <-> 3.66021251678   || 1
niet            | afhangen        | 10.256023407    <-> 10.498506546    || 0
afhangen        | </s>            | 2.23795747757   <-> 1.92208695412   || 1
<s>             | zo              | 5.16999578476   <-> 5.29072618484   || 0
zo              | ernstig         | 9.0209274292    <-> 9.39416122437   || 0
ernstig         | nemen           | 7.13373804092   <-> 7.55679512024   || 0
nemen           | </s>            | 3.47270059586   <-> 3.4627995491    || 1
<s>             | Schotten        | 12.8557901382   <-> 12.9810476303   || 0
Schotten        | het             | 4.5547709465    <-> 6.0531373024    || 0
het             | golf            | 12.4555282593   <-> 12.6552391052   || 0
golf            | nu              | 6.88812923431   <-> 8.13921356201   || 0
nu              | ook             | 4.02142906189   <-> 4.09860563278   || 0
ook             | weer            | 5.88500881195   <-> 6.04914569855   || 0
weer            | niet            | 4.2190284729    <-> 4.42107343674   || 0
niet            | </s>            | 2.12429237366   <-> 2.25725245476   || 0
<s>             | getuige         | 10.6851634979   <-> 10.5645093918   || 1
getuige         | de              | 3.30123209953   <-> 3.91919612885   || 0
de              | definitie       | 9.92817783356   <-> 9.91784095764   || 1
definitie       | van             | 0.438490599394  <-> 0.481401026249  || 0
van             | John            | 7.92793607712   <-> 8.29642105103   || 0
John            | </s>            | 4.92607688904   <-> 5.22819185257   || 0
<s>             | Cunningham      | 12.1256599426   <-> 12.5951843262   || 0
Cunningham      | </s>            | 3.04187011719   <-> 3.8520359993    || 0
<s>             | golf            | 11.4962854385   <-> 11.6074419022   || 0
golf            | is              | 3.96450042725   <-> 3.35056829453   || 1
is              | een             | 2.33296585083   <-> 2.49537563324   || 0
een             | spel            | 8.66177749634   <-> 8.33255767822   || 1
spel            | waarbij         | 5.94151687622   <-> 5.88282012939   || 1
waarbij         | men             | 5.16211891174   <-> 4.46477365494   || 1
men             | een             | 2.60284137726   <-> 2.90806770325   || 0
een             | bal             | 8.9107465744    <-> 8.72841835022   || 1
bal             | van             | 3.72640275955   <-> 2.9671459198    || 1
van             | vier            | 5.86533260345   <-> 4.88942909241   || 1
vier            | centimeter      | 6.026658535     <-> 5.46001577377   || 1
centimeter      | diameter        | 10.6676168442   <-> 10.3928365707   || 1
diameter        | neerlegt        | 12.7563247681   <-> 11.1221790314   || 1
neerlegt        | op              | 4.01371908188   <-> 3.97620296478   || 1
op              | een             | 2.08609867096   <-> 2.16316843033   || 0
een             | andere          | 4.63768672943   <-> 4.5717420578    || 1
andere          | bal             | 9.19396209717   <-> 6.95291900635   || 1
bal             | van             | 3.65336799622   <-> 3.33959364891   || 1
van             | vier-en         | 6.79303741455   <-> 6.776304245     || 1
vier-en         | veertig         | 2.35633420944   <-> 2.02795577049   || 1
veertig         | duizend         | 2.49467277527   <-> 3.38085770607   || 0
duizend         | kilometer       | 4.56958246231   <-> 6.30989456177   || 0
kilometer       | diameter        | 12.955450058    <-> 11.9390830994   || 1
diameter        | </s>            | 0.736490726471  <-> 0.803116202354  || 0
<s>             | de              | 1.84397816658   <-> 1.99175584316   || 0
de              | bedoeling       | 7.58912277222   <-> 6.88930273056   || 1
bedoeling       | is              | 1.34533774853   <-> 1.37973356247   || 0
is              | de              | 2.70680880547   <-> 2.92035794258   || 0
de              | kleine          | 6.74283885956   <-> 6.85886859894   || 0
kleine          | bal             | 8.43338298798   <-> 8.743724823     || 0
bal             | weg             | 6.59682846069   <-> 6.69581127167   || 0
weg             | te              | 0.937457203865  <-> 0.420971393585  || 1
te              | slaan           | 4.84567499161   <-> 4.22712659836   || 1
slaan           | zonder          | 6.19821882248   <-> 6.03472471237   || 1
zonder          | de              | 1.62385725975   <-> 2.32840967178   || 0
de              | grote           | 5.36720323563   <-> 5.60075855255   || 0
grote           | bal             | 8.5179567337    <-> 7.14468383789   || 1
